AD-005	YER068W
YAL034W-A	YIR010W
YAL034W-A	YJR112W
YAL034W-A	YKL103C
YAL034W-A	YLR052W
YAL034W-A	YPL125W
YAL035W	YMR260C
YAL036C	RP11-395P17.5
YAL036C	RP11-94L15.2
YAL036C	YDR152W
YAL036C	YDR448W
YAL036C	YGR250C
YAL036C	YLR423C
YAL036C	YML007W
YAL036C	YOR091W
YAL036C	YOR174W
YAL039C	YAL039C
YAL040C	YJL013C
YAL041W	YBR200W
YAL041W	YGL233W
YAL041W	YGR152C
YAL041W	YGR221C
YAL041W	YHL007C
YAL041W	YIL079C
YAL041W	YJL157C
YAL041W	YJL187C
YAL041W	YLR206W
YAL041W	YLR229C
YAL041W	YOR212W
YAL041W	YPL161C
YAL043C	YGR156W
YAL043C	YKR002W
YAL043C	YLR277C
YAL043C	YNL222W
YAL044W-A	HUSSY-22
YAL044W-A	RP1-315G1.5
YAL044W-A	YDR098C
YAL044W-A	YER174C
YAL044W-A	YNL218W
YAL044W-A	YNL249C
YAL046C	HUSSY-22
YAL046C	RP11-379J5.1
YAL046C	YDR098C
YAL046C	YER174C
YAL046C	YKR034W
YAL046C	tcag7.1178
YAL046C	tcag7.1300
YAL047C	YAL028W
YAL047C	YAL047C
YAL047C	YBL103C
YAL047C	YBL105C
YAL047C	YBR128C
YAL047C	YCR048W
YAL047C	YCR084C
YAL047C	YDR229W
YAL047C	YDR259C
YAL047C	YDR295C
YAL047C	YDR393W
YAL047C	YDR412W
YAL047C	YER018C
YAL047C	YER093C
YAL047C	YER103W
YAL047C	YGL025C
YAL047C	YGL180W
YAL047C	YGR009C
YAL047C	YGR059W
YAL047C	YGR150C
YAL047C	YGR238C
YAL047C	YGR241C
YAL047C	YHL010C
YAL047C	YHR080C
YAL047C	YHR158C
YAL047C	YHR172W
YAL047C	YHR192W
YAL047C	YHR206W
YAL047C	YIL038C
YAL047C	YIL136W
YAL047C	YJL019W
YAL047C	YJL029C
YAL047C	YJL036W
YAL047C	YJL049W
YAL047C	YJL113W
YAL047C	YJL168C
YAL047C	YJL187C
YAL047C	YJR021C
YAL047C	YJR134C
YAL047C	YKL073W
YAL047C	YKL079W
YAL047C	YKL179C
YAL047C	YKR022C
YAL047C	YKR035W-A
YAL047C	YLR025W
YAL047C	YLR031W
YAL047C	YLR206W
YAL047C	YLR314C
YAL047C	YML007W
YAL047C	YML030W
YAL047C	YMR077C
YAL047C	YMR145C
YAL047C	YMR235C
YAL047C	YNL084C
YAL047C	YNL126W
YAL047C	YOL069W
YAL047C	YOR069W
YAL047C	YOR073W
YAL047C	YOR127W
YAL047C	YOR329C
YAL047C	YPL026C
YAL047C	YPL055C
YAL047C	YPL174C
YAL047C	YPL232W
YAL047C	YPR049C
YAL047C	YPR155C
YAL047C	YPR199C
YAL054C	YDR216W
YAL055W	YDL100C
YAL055W	YGR133W
YAL059W	YAL059W
YAL059W	YJL039C
YAL059W	YJL194W
YAR003W	YBR175W
YAR003W	YDR140W
YAR007C	YAR007C
YAR007C	YBL101C
YAR007C	YBL105C
YAR007C	YBR177C
YAR007C	YCR066W
YAR007C	YDL005C
YAR007C	YDL006W
YAR007C	YDL122W
YAR007C	YDL180W
YAR007C	YDR005C
YAR007C	YDR063W
YAR007C	YDR071C
YAR007C	YDR118W
YAR007C	YDR129C
YAR007C	YDR369C
YAR007C	YER173W
YAR007C	YGR105W
YAR007C	YHL020C
YAR007C	YHR012W
YAR007C	YHR164C
YAR007C	YIL140W
YAR007C	YIR002C
YAR007C	YJL042W
YAR007C	YJL173C
YAR007C	YJR043C
YAR007C	YJR074W
YAR007C	YJR099W
YAR007C	YJR138W
YAR007C	YKL089W
YAR007C	YKL154W
YAR007C	YKL182W
YAR007C	YKR039W
YAR007C	YLR274W
YAR007C	YML032C
YAR007C	YMR190C
YAR007C	YMR224C
YAR007C	YNL312W
YAR007C	YNR071C
YAR007C	YOL056W
YAR007C	YOL086C
YAR007C	YOL130W
YAR007C	YOR187W
YAR007C	YOR322C
YAR008W	YMR059W
YAR014C	YBR186W
YAR014C	YCL028W
YAR014C	YCL031C
YAR014C	YDL070W
YAR014C	YDL240W
YAR014C	YDR085C
YAR014C	YDR100W
YAR014C	YDR107C
YAR014C	YDR195W
YAR014C	YDR259C
YAR014C	YDR277C
YAR014C	YDR480W
YAR014C	YER032W
YAR014C	YER054C
YAR014C	YER115C
YAR014C	YER133W
YAR014C	YER155C
YAR014C	YER158C
YAR014C	YFL059W
YAR014C	YFR040W
YAR014C	YGL237C
YAR014C	YGR037C
YAR014C	YGR225W
YAR014C	YHL048W
YAR014C	YIL045W
YAR014C	YIL144W
YAR014C	YJL042W
YAR014C	YJR115W
YAR014C	YKR075C
YAR014C	YLR096W
YAR014C	YLR098C
YAR014C	YLR108C
YAR014C	YLR245C
YAR014C	YLR273C
YAR014C	YLR430W
YAR014C	YML052W
YAR014C	YMR018W
YAR014C	YMR026C
YAR014C	YMR071C
YAR014C	YMR104C
YAR014C	YMR258C
YAR014C	YNL025C
YAR014C	YNL044W
YAR014C	YNL206C
YAR014C	YNL229C
YAR014C	YNL333W
YAR014C	YOL033W
YAR014C	YOR047C
YAR014C	YOR062C
YAR014C	YOR178C
YAR014C	YOR229W
YAR014C	YOR284W
YAR014C	YOR329C
YAR014C	YOR355W
YAR014C	YOR358W
YAR014C	YPL049C
YAR018C	YAL028W
YAR018C	YAR018C
YAR018C	YBR095C
YAR018C	YBR128C
YAR018C	YBR211C
YAR018C	YBR245C
YAR018C	YCR084C
YAR018C	YDR119W
YAR018C	YDR221W
YAR018C	YDR229W
YAR018C	YDR285W
YAR018C	YDR295C
YAR018C	YDR393W
YAR018C	YDR446W
YAR018C	YEL003W
YAR018C	YEL043W
YAR018C	YER018C
YAR018C	YER093C
YAR018C	YER128W
YAR018C	YGL025C
YAR018C	YGL075C
YAR018C	YGL079W
YAR018C	YGL093W
YAR018C	YGL180W
YAR018C	YGR089W
YAR018C	YGR130C
YAR018C	YGR150C
YAR018C	YGR238C
YAR018C	YHR011W
YAR018C	YHR158C
YAR018C	YHR192W
YAR018C	YHR206W
YAR018C	YIL038C
YAR018C	YJL049W
YAR018C	YJL187C
YAR018C	YJR021C
YAR018C	YJR112W
YAR018C	YJR147W
YAR018C	YKL042W
YAR018C	YKL072W
YAR018C	YKL073W
YAR018C	YKL172W
YAR018C	YKL179C
YAR018C	YKR022C
YAR018C	YKR035W-A
YAR018C	YKR083C
YAR018C	YLR025W
YAR018C	YLR031W
YAR018C	YLR105C
YAR018C	YLR119W
YAR018C	YLR190W
YAR018C	YLR314C
YAR018C	YML111W
YAR018C	YMR053C
YAR018C	YMR076C
YAR018C	YMR198W
YAR018C	YNL225C
YAR018C	YNL250W
YAR018C	YOL034W
YAR018C	YOL088C
YAR018C	YOR117W
YAR018C	YOR212W
YAR018C	YOR269W
YAR018C	YOR324C
YAR018C	YPL018W
YAR018C	YPL020C
YAR018C	YPL074W
YAR018C	YPL216W
YAR018C	YPL241C
YAR018C	YPL249C
YAR018C	YPR174C
YAR018C	YPR199C
YAR027W	RP11-443G18.1
YAR027W	YAR027W
YAR028W	YAR027W
YAR028W	YAR028W
YAR031W	YBR217W
YAR031W	YCR030C
YAR033W	YAR033W
YBL001C	YBL001C
YBL005W	YDR176W
YBL006C	YDR489W
YBL007C	YAL011W
YBL007C	YBL037W
YBL007C	YBL047C
YBL007C	YBL088C
YBL007C	YBL105C
YBL007C	YBR108W
YBL007C	YBR136W
YBL007C	YBR150C
YBL007C	YBR205W
YBL007C	YBR250W
YBL007C	YCL008C
YBL007C	YCL031C
YBL007C	YCL034W
YBL007C	YCL045C
YBL007C	YCR030C
YBL007C	YCR100C
YBL007C	YDL002C
YBL007C	YDL028C
YBL007C	YDL139C
YBL007C	YDL146W
YBL007C	YDL203C
YBL007C	YDL206W
YBL007C	YDR277C
YBL007C	YDR382W
YBL007C	YDR388W
YBL007C	YDR423C
YBL007C	YDR520C
YBL007C	YER027C
YBL007C	YER110C
YBL007C	YER151C
YBL007C	YFL010C
YBL007C	YFR013W
YBL007C	YGL035C
YBL007C	YGL104C
YBL007C	YGL201C
YBL007C	YGL215W
YBL007C	YGL237C
YBL007C	YGL238W
YBL007C	YGR227W
YBL007C	YGR240C
YBL007C	YGR268C
YBL007C	YHL016C
YBL007C	YHR016C
YBL007C	YIL076W
YBL007C	YIL144W
YBL007C	YIL156W
YBL007C	YIL173W
YBL007C	YIR033W
YBL007C	YJL004C
YBL007C	YJL145W
YBL007C	YJL151C
YBL007C	YJL201W
YBL007C	YJR115W
YBL007C	YKL054C
YBL007C	YKL074C
YBL007C	YKR001C
YBL007C	YKR022C
YBL007C	YKR030W
YBL007C	YKR095W
YBL007C	YLL005C
YBL007C	YLL018C
YBL007C	YLR064W
YBL007C	YLR078C
YBL007C	YLR088W
YBL007C	YLR095C
YBL007C	YLR106C
YBL007C	YLR154W-C
YBL007C	YLR206W
YBL007C	YLR315W
YBL007C	YLR430W
YBL007C	YML075C
YBL007C	YML097C
YBL007C	YML109W
YBL007C	YML116W
YBL007C	YMR109W
YBL007C	YMR147W
YBL007C	YMR253C
YBL007C	YMR313C
YBL007C	YNL094W
YBL007C	YNL106C
YBL007C	YNL116W
YBL007C	YNL138W
YBL007C	YNL144C
YBL007C	YNL152W
YBL007C	YNL161W
YBL007C	YNL176C
YBL007C	YNL229C
YBL007C	YNL243W
YBL007C	YNR041C
YBL007C	YOL028C
YBL007C	YOR008C
YBL007C	YOR047C
YBL007C	YOR109W
YBL007C	YOR181W
YBL007C	YOR211C
YBL007C	YOR284W
YBL007C	YOR322C
YBL007C	YOR329C
YBL007C	YOR388C
YBL007C	YPL012W
YBL007C	YPL022W
YBL007C	YPL027W
YBL007C	YPL157W
YBL007C	YPL246C
YBL007C	YPR030W
YBL007C	YPR048W
YBL007C	YPR171W
YBL008W	YBR112C
YBL008W	YMR021C
YBL014C	YBL014C
YBL014C	YJL025W
YBL014C	YML043C
YBL016W	YDR477W
YBL016W	YDR480W
YBL016W	YGL178W
YBL016W	YLR362W
YBL016W	YPL049C
YBL019W	YBR088C
YBL020W	YDR479C
YBL020W	YIR038C
YBL023C	YBL023C
YBL023C	YDL017W
YBL023C	YDR052C
YBL023C	YGL201C
YBL023C	YHR154W
YBL023C	YIL150C
YBL023C	YPR019W
YBL025W	YDL113C
YBL025W	YMR270C
YBL026W	DAAP-182E11.3
YBL026W	YAR003W
YBL026W	YBL066C
YBL026W	YCR020C-A
YBL026W	YCR066W
YBL026W	YCR077C
YBL026W	YDL160C
YBL026W	YDL175C
YBL026W	YDR166C
YBL026W	YDR378C
YBL026W	YDR440W
YBL026W	YEL015W
YBL026W	YER025W
YBL026W	YER112W
YBL026W	YER146W
YBL026W	YGL173C
YBL026W	YGL185C
YBL026W	YGR077C
YBL026W	YGR158C
YBL026W	YIL048W
YBL026W	YIL066C
YBL026W	YIL132C
YBL026W	YJL124C
YBL026W	YJL157C
YBL026W	YJR022W
YBL026W	YLR039C
YBL026W	YLR120C
YBL026W	YLR126C
YBL026W	YLR128W
YBL026W	YLR264W
YBL026W	YLR275W
YBL026W	YLR438C-A
YBL026W	YMR066W
YBL026W	YMR207C
YBL026W	YMR237W
YBL026W	YMR268C
YBL026W	YNL118C
YBL026W	YNL147W
YBL026W	YNL264C
YBL026W	YNL287W
YBL026W	YOL102C
YBL026W	YOL149W
YBL026W	YOL163W
YBL026W	YOR017W
YBL026W	YOR043W
YBL026W	YOR167C
YBL026W	YOR191W
YBL026W	YPL042C
YBL026W	YPL115C
YBL026W	YPL119C
YBL026W	YPL249C
YBL026W	YPL249C-A
YBL026W	YPR032W
YBL026W	YPR184W
YBL032W	YMR077C
YBL033C	YBL033C
YBL033C	YPR172W
YBL034C	YFL037W
YBL034C	YKR079C
YBL035C	YDR082W
YBL037W	YFR043C
YBL037W	YKL103C
YBL039C	YJR103W
YBL041W	YCR073C
YBL041W	YDL020C
YBL041W	YER105C
YBL041W	YIL007C
YBL042C	YER021W
YBL045C	YPR191W
YBL046W	YDR075W
YBL046W	YNL201C
YBL047C	YAL047C
YBL047C	YBL047C
YBL047C	YCR030C
YBL047C	YCR048W
YBL047C	YEL043W
YBL047C	YFR037C
YBL047C	YGR009C
YBL047C	YGR059W
YBL047C	YGR241C
YBL047C	YHL010C
YBL047C	YJR134C
YBL047C	YNL084C
YBL051C	YPL153C
YBL056W	YDR071C
YBL057C	YMR276W
YBL058W	YDL126C
YBL061C	YBR023C
YBL061C	YIL007C
YBL061C	YNL233W
YBL063W	YAL047C
YBL063W	YDL013W
YBL063W	YNL091W
YBL068W	YOL061W
YBL068W	YOL069W
YBL069W	YDR100W
YBL075C	PP1845
YBL078C	CGI-29
YBL078C	MIG19
YBL078C	RP11-730A19.1
YBL078C	YGL180W
YBL078C	YHR171W
YBL078C	YIL146C
YBL078C	YJL185C
YBL078C	YLR312C
YBL078C	YNL223W
YBL078C	YNR007C
YBL078C	YOL082W
YBL078C	YOL083W
YBL078C	YOR042W
YBL078C	YOR152C
YBL084C	YAR018C
YBL084C	YBL084C
YBL084C	YDL030W
YBL084C	YDR259C
YBL084C	YDR523C
YBL084C	YGL016W
YBL084C	YHR166C
YBL084C	YIR023W
YBL084C	YJL110C
YBL084C	YLR102C
YBL084C	YLR135W
YBL084C	YLR424W
YBL084C	YML099C
YBL084C	YPL174C
YBL084C	YPL255W
YBL084C	YPR018W
YBL085W	YBR003W
YBL085W	YBR102C
YBL085W	YBR108W
YBL085W	YBR200W
YBL085W	YCL024W
YBL085W	YCL031C
YBL085W	YDR036C
YBL085W	YDR085C
YBL085W	YDR239C
YBL085W	YDR277C
YBL085W	YDR329C
YBL085W	YDR372C
YBL085W	YDR480W
YBL085W	YER008C
YBL085W	YER032W
YBL085W	YER081W
YBL085W	YER124C
YBL085W	YER155C
YBL085W	YER158C
YBL085W	YER164W
YBL085W	YFR034C
YBL085W	YGL035C
YBL085W	YGL190C
YBL085W	YGL201C
YBL085W	YHL007C
YBL085W	YIL144W
YBL085W	YJL155C
YBL085W	YJR056C
YBL085W	YJR061W
YBL085W	YJR138W
YBL085W	YKL218C
YBL085W	YLL040C
YBL085W	YLR229C
YBL085W	YLR314C
YBL085W	YML109W
YBL085W	YMR032W
YBL085W	YMR124W
YBL085W	YMR139W
YBL085W	YMR244W
YBL085W	YNL078W
YBL085W	YNL206C
YBL085W	YNL234W
YBL085W	YNR016C
YBL085W	YOL019W
YBL085W	YOL070C
YBL085W	YOL135C
YBL085W	YOL156W
YBL085W	YOR047C
YBL085W	YPL038W
YBL085W	YPL049C
YBL085W	YPL158C
YBL087C	YDR361C
YBL088C	YDR227W
YBL088C	YDR363W
YBL088C	YLR442C
YBL091C-A	YDR479C
YBL091C-A	YIR038C
YBL091C-A	YML029W
YBL091C-A	YPL094C
YBL099W	YJL180C
YBL101C	YNL225C
YBL102W	RP11-379J5.1
YBL103C	YAL047C
YBL103C	YAR018C
YBL103C	YBR102C
YBL103C	YCR048W
YBL103C	YDL110C
YBL103C	YHL010C
YBL103C	YKL172W
YBL103C	YKR020W
YBL103C	YLR315W
YBL103C	YML030W
YBL103C	YNL107W
YBL103C	YOR259C
YBL103C	YPL249C
YBL103C	YPR155C
YBL104C	YGR094W
YBL105C	YAL011W
YBL105C	YAR018C
YBL105C	YBL105C
YBL105C	YEL002C
YBL105C	YGL022W
YBL105C	YHR023W
YBL105C	YHR080C
YBL105C	YHR192W
YBL105C	YJR112W
YBL105C	YKL061W
YBL105C	YKL138C-A
YBL105C	YKL179C
YBL105C	YKR054C
YBL105C	YLR454W
YBL105C	YML104C
YBL105C	YML109W
YBL105C	YMR054W
YBL105C	YMR077C
YBL105C	YMR149W
YBL105C	YMR168C
YBL105C	YNL084C
YBL105C	YOL069W
YBL105C	YOR069W
YBL105C	YOR127W
YBL105C	YOR231W
YBL105C	YOR269W
YBL105C	YPR165W
YBL106C	YAR018C
YBL106C	YGR172C
YBL106C	YHR161C
YBL106C	YIL033C
YBL106C	YLR206W
YBL106C	YLR423C
YBL106C	YNL094W
YBL106C	YOR197W
YBL106C	YPL174C
YBR005W	YER125W
YBR006W	YBR006W
YBR006W	YDR382W
YBR006W	YKL023W
YBR009C	RP3-329L24.1
YBR009C	YLL022C
YBR009C	YLR399C
YBR017C	RP11-544A12.7
YBR017C	YDR192C
YBR017C	YGL092W
YBR017C	YGL122C
YBR017C	YGL172W
YBR017C	YGR119C
YBR017C	YNR069C
YBR017C	YOR098C
YBR019C	YBR019C
YBR020W	YML051W
YBR023C	YBL061C
YBR023C	YBR023C
YBR023C	YJR117W
YBR029C	YIR033W
YBR029C	YIR038C
YBR038W	YNL152W
YBR042C	YAR027W
YBR045C	YBR148W
YBR045C	YDR103W
YBR050C	YDR477W
YBR052C	YDR032C
YBR055C	YDL064W
YBR055C	YPR082C
YBR057C	YAL028W
YBR057C	YAL032C
YBR057C	YBL063W
YBR057C	YBR057C
YBR057C	YBR095C
YBR057C	YBR102C
YBR057C	YBR128C
YBR057C	YCL010C
YBR057C	YDL148C
YBR057C	YDR159W
YBR057C	YDR180W
YBR057C	YDR195W
YBR057C	YDR200C
YBR057C	YDR229W
YBR057C	YDR259C
YBR057C	YDR295C
YBR057C	YDR356W
YBR057C	YDR425W
YBR057C	YDR439W
YBR057C	YDR446W
YBR057C	YDR484W
YBR057C	YDR505C
YBR057C	YDR532C
YBR057C	YEL005C
YBR057C	YEL043W
YBR057C	YER018C
YBR057C	YER093C
YBR057C	YER128W
YBR057C	YGL025C
YBR057C	YGL075C
YBR057C	YGL086W
YBR057C	YGL093W
YBR057C	YGL212W
YBR057C	YGL244W
YBR057C	YGR119C
YBR057C	YGR120C
YBR057C	YGR130C
YBR057C	YGR150C
YBR057C	YGR179C
YBR057C	YGR238C
YBR057C	YHL002W
YBR057C	YHR027C
YBR057C	YHR079C-A
YBR057C	YHR120W
YBR057C	YHR158C
YBR057C	YHR159W
YBR057C	YHR192W
YBR057C	YHR206W
YBR057C	YIL136W
YBR057C	YIL144W
YBR057C	YJL049W
YBR057C	YJL207C
YBR057C	YJR083C
YBR057C	YKL016C
YBR057C	YKL080W
YBR057C	YKL172W
YBR057C	YKL179C
YBR057C	YKR022C
YBR057C	YKR054C
YBR057C	YLR025W
YBR057C	YLR031W
YBR057C	YLR119W
YBR057C	YLR166C
YBR057C	YLR315W
YBR057C	YLR408C
YBR057C	YML094W
YBR057C	YML103C
YBR057C	YML104C
YBR057C	YML111W
YBR057C	YMR053C
YBR057C	YMR077C
YBR057C	YMR168C
YBR057C	YNL088W
YBR057C	YNL153C
YBR057C	YNR022C
YBR057C	YOL145C
YBR057C	YOR223W
YBR057C	YOR259C
YBR057C	YOR269W
YBR057C	YOR304C-A
YBR057C	YOR341W
YBR057C	YPL020C
YBR057C	YPL074W
YBR057C	YPL106C
YBR057C	YPL138C
YBR057C	YPL242C
YBR057C	YPL249C
YBR057C	YPR072W
YBR057C	YPR117W
YBR057C	YPR155C
YBR057C	YPR174C
YBR057C	YPR199C
YBR059C	YBR059C
YBR060C	YDR227W
YBR060C	YGL086W
YBR060C	YGR024C
YBR060C	YHR118C
YBR060C	YLL004W
YBR060C	YLR002C
YBR060C	YLR117C
YBR060C	YML065W
YBR060C	YMR036C
YBR060C	YNL182C
YBR060C	YNL261W
YBR072W	YBR072W
YBR077C	LA16c-313D11.6
YBR077C	YGR201C
YBR077C	YKR007W
YBR077C	YMR004W
YBR079C	YEL005C
YBR079C	YJL019W
YBR079C	YJL207C
YBR079C	YML030W
YBR079C	YNL084C
YBR079C	YNL243W
YBR079C	YPL018W
YBR079C	YPL074W
YBR079C	YPL249C
YBR080C	YBR080C
YBR081C	YDR167W
YBR082C	YER068W
YBR082C	YHR193C
YBR082C	YPL037C
YBR083W	YER125W
YBR087W	YDR229W
YBR087W	YJR068W
YBR088C	LA16c-358B7.1
YBR088C	YBR088C
YBR088C	YCR066W
YBR088C	YDL064W
YBR088C	YDR419W
YBR088C	YDR510W
YBR088C	YJR043C
YBR088C	YLR032W
YBR088C	YNL218W
YBR088C	YOL090W
YBR088C	YOR191W
YBR094W	YOL149W
YBR101C	RP6-191P20.2
YBR101C	YAL005C
YBR101C	YER103W
YBR101C	YFL036W
YBR101C	YNL007C
YBR102C	RP11-395P17.5
YBR102C	RP11-94L15.2
YBR102C	YBL106C
YBR102C	YBR102C
YBR102C	YDR166C
YBR102C	YDR229W
YBR102C	YGL233W
YBR102C	YJL049W
YBR102C	YLR166C
YBR102C	YLR423C
YBR102C	YPL018W
YBR102C	YPR032W
YBR103W	YDR227W
YBR103W	YIL112W
YBR103W	YJR141W
YBR105C	DAAP-182E11.3
YBR105C	RP11-395P17.5
YBR105C	RP11-70P17.2
YBR105C	RP11-94L15.2
YBR105C	tcag7.1300
YBR107C	YDR254W
YBR107C	YDR421W
YBR107C	YDR489W
YBR107C	YGL071W
YBR107C	YGR161C
YBR107C	YHR113W
YBR107C	YIL105C
YBR107C	YOL091W
YBR107C	YOR030W
YBR108W	YDR388W
YBR108W	YGR136W
YBR109C	YDR356W
YBR109C	YGL106W
YBR109C	YMR109W
YBR109C	YMR111C
YBR109C	YNR035C
YBR111C	RP1-315G1.5
YBR111C	YLR245C
YBR111C	YPL070W
YBR112C	YBL008W
YBR112C	YBL103C
YBR112C	YCR084C
YBR114W	YJR052W
YBR114W	YMR190C
YBR119W	YDR110W
YBR119W	YHR065C
YBR119W	YLR449W
YBR119W	YML016C
YBR119W	YNL227C
YBR122C	YGR211W
YBR123C	YLR423C
YBR123C	YOR110W
YBR126C	YBR126C
YBR126C	YDR074W
YBR126C	YML100W
YBR126C	YMR261C
YBR128C	YLR211C
YBR130C	YKL130C
YBR130C	YLR423C
YBR131W	YGL124C
YBR131W	YML001W
YBR133C	YJL187C
YBR133C	YKL101W
YBR133C	YNL094W
YBR135W	YBR160W
YBR135W	YBR252W
YBR135W	YGR108W
YBR136W	YAR007C
YBR136W	YDR499W
YBR136W	YNL312W
YBR137W	YBR137W
YBR138C	YGL003C
YBR141C	YDR372C
YBR141C	YGL091C
YBR142W	YDL031W
YBR142W	YER126C
YBR142W	YFR001W
YBR142W	YHR088W
YBR142W	YKL172W
YBR142W	YMR290C
YBR142W	YNL002C
YBR142W	YOL041C
YBR142W	YOR206W
YBR142W	YPL043W
YBR143C	YDR172W
YBR143C	YMR080C
YBR148W	YGL212W
YBR148W	YJR021C
YBR148W	YJR112W
YBR148W	YKL142W
YBR148W	YKL179C
YBR148W	YLL024C
YBR148W	YOR117W
YBR148W	YPR018W
YBR150C	YOR174W
YBR152W	YGR075C
YBR153W	YBR153W
YBR154C	YDL140C
YBR154C	YKR008W
YBR154C	YOR116C
YBR154C	YOR341W
YBR155W	YDR216W
YBR155W	YDR463W
YBR155W	YGR274C
YBR155W	YIL144W
YBR156C	YBL031W
YBR156C	YBR156C
YBR156C	YDL239C
YBR156C	YDR016C
YBR156C	YER016W
YBR156C	YGL061C
YBR156C	YGR113W
YBR156C	YJR089W
YBR156C	YKR037C
YBR156C	YKR083C
YBR156C	YPL209C
YBR159W	YLR291C
YBR160W	YAL040C
YBR160W	YBR135W
YBR160W	YDL106C
YBR160W	YDL155W
YBR160W	YDR146C
YBR160W	YDR168W
YBR160W	YER059W
YBR160W	YER115C
YBR160W	YFL029C
YBR160W	YFR028C
YBR160W	YGL178W
YBR160W	YIL050W
YBR160W	YJL013C
YBR160W	YKL042W
YBR160W	YKR077W
YBR160W	YLR210W
YBR160W	YLR321C
YBR160W	YML109W
YBR160W	YMR001C
YBR160W	YMR181C
YBR160W	YMR199W
YBR160W	YMR277W
YBR160W	YNL188W
YBR160W	YOR008C
YBR160W	YOR032C
YBR160W	YOR043W
YBR160W	YOR066W
YBR160W	YOR315W
YBR160W	YPL269W
YBR160W	YPR141C
YBR162W-A	PSEC0238
YBR162W-A	YPL094C
YBR164C	YAL026C
YBR164C	YDL226C
YBR164C	YEL022W
YBR164C	YNL297C
YBR164C	YPR095C
YBR166C	YBR166C
YBR167C	YBR257W
YBR167C	YDR478W
YBR167C	YGR030C
YBR167C	YNL221C
YBR168W	YDL065C
YBR168W	YHR150W
YBR168W	YLR324W
YBR170C	YDL126C
YBR170C	YGR048W
